Price,Close
Ticker,XLY
Date,
2018-03-20,97.19348907470703
2018-03-21,97.11907958984375
2018-03-22,95.05410766601562
2018-03-23,93.18446350097656
2018-03-26,95.9377670288086
2018-03-27,94.05880737304688
2018-03-28,92.91468811035156
2018-03-29,94.21694946289062
2018-04-02,91.55664825439453
2018-04-03,92.71934509277344
2018-04-04,94.42157745361328
2018-04-05,95.68659210205078
2018-04-06,93.64955139160156
2018-04-09,93.42630767822266
2018-04-10,94.56111907958984
2018-04-11,94.27273559570312
2018-04-12,94.68202209472656
2018-04-13,94.15186309814453
2018-04-16,94.85875701904297
2018-04-17,96.6260757446289
2018-04-18,97.08187103271484
2018-04-19,96.77490997314453
2018-04-20,95.78893280029297
2018-04-23,95.99356079101562
2018-04-24,94.47737884521484
2018-04-25,94.86805725097656
2018-04-26,96.40284729003906
2018-04-27,96.84001159667969
2018-04-30,96.45864868164062
2018-05-01,96.58887481689453
2018-05-02,95.9284439086914
2018-05-03,95.50056457519531
2018-05-04,96.75629425048828
2018-05-07,97.08187103271484
2018-05-08,96.67257690429688
2018-05-09,97.0074691772461
2018-05-10,97.36089324951172
2018-05-11,97.56556701660156
2018-05-14,97.7515640258789
2018-05-15,97.1841812133789
2018-05-16,97.99343872070312
2018-05-17,97.6678695678711
2018-05-18,97.54695892333984
2018-05-21,98.08642578125
2018-05-22,97.64926147460938
2018-05-23,98.356201171875
2018-05-24,98.57013702392578
2018-05-25,98.71894836425781
2018-05-29,97.95622253417969
2018-05-30,98.84918975830078
2018-05-31,98.37480926513672
2018-06-01,99.10031127929688
2018-06-04,100.20724487304688
2018-06-05,100.79322052001953
2018-06-06,101.73271942138672
2018-06-07,102.0303726196289
2018-06-08,102.24430084228516
2018-06-11,102.65357971191406
2018-06-12,103.1465835571289
2018-06-13,103.30469512939453
2018-06-14,104.38369750976562
2018-06-15,104.5552978515625
2018-06-18,104.37811279296875
2018-06-19,104.24751281738281
2018-06-20,104.7418212890625
2018-06-21,103.99574279785156
2018-06-22,103.81854248046875
2018-06-25,101.56159973144531
2018-06-26,102.28904724121094
2018-06-27,100.96473693847656
2018-06-28,101.75746154785156
2018-06-29,101.93468475341797
2018-07-02,102.07455444335938
2018-07-03,101.56159973144531
2018-07-05,102.06522369384766
2018-07-06,102.86727905273438
2018-07-09,104.09830474853516
2018-07-10,104.32215881347656
2018-07-11,104.07965850830078
2018-07-12,104.76980590820312
2018-07-13,105.00294494628906
2018-07-16,105.26408386230469
2018-07-17,105.36666870117188
2018-07-18,105.30139923095703
2018-07-19,105.05891418457031
2018-07-20,104.59261322021484
2018-07-23,104.48069763183594
2018-07-24,104.17292022705078
2018-07-25,104.93765258789062
2018-07-26,104.38743591308594
2018-07-27,104.11697387695312
2018-07-30,103.28694152832031
2018-07-31,103.77190399169922
2018-08-01,103.25897979736328
2018-08-02,103.96776580810547
2018-08-03,104.32215881347656
2018-08-06,105.02162170410156
2018-08-07,105.50655364990234
2018-08-08,105.61846160888672
2018-08-09,106.01016235351562
2018-08-10,105.12419128417969
2018-08-13,104.59261322021484
