Date,Price,Return,Sign,avg_positive_XLF,avg_neutral_XLF,avg_negative_XLF,n_XLF,sent_index_XLF,is_trading_day
2018-03-20,24.87996482849121,,,0.061260317452251856,0.535399672575295,0.40334003604948515,4.0,-0.3420797185972333,1.0
2018-03-21,24.87130355834961,-0.0003481222823789,-1.0,0.2635124154122812,0.4854528687096068,0.25103470370439546,14.0,0.012477711707885752,1.0
2018-03-22,23.953357696533203,-0.036907830732026,-1.0,0.2810999139804731,0.32304474440487946,0.39585533060810785,11.0,-0.11475541662763472,1.0
2018-03-23,23.22591781616211,-0.0303690150494591,-1.0,0.2881744136102497,0.3072459806377689,0.40457960901161033,6.0,-0.11640519540136063,1.0
2018-03-26,23.97933578491211,0.0324386736710884,1.0,0.22050653144039886,0.46985156630927866,0.30964190546761855,11.0,-0.08913537402721969,1.0
2018-03-27,23.511695861816406,-0.0195017880099057,-1.0,0.20830155629664654,0.5012796968221664,0.2904187376843765,8.0,-0.08211718138772994,1.0
2018-03-28,23.55499839782715,0.0018417444775247,1.0,0.0929450205294415,0.6529017072170973,0.25415329274255777,8.0,-0.1612082722131163,1.0
2018-03-29,23.87541580200196,0.0136029473983902,1.0,0.05524216070771212,0.5923293888568878,0.3524284558370709,5.0,-0.2971862951293588,1.0
2018-04-02,23.347150802612305,-0.0221258973569522,-1.0,0.04648469528183336,0.47663261244694394,0.4768827077932656,6.0,-0.4303980125114322,1.0
2018-04-03,23.667573928833008,0.0137242924813272,1.0,0.6274285564819971,0.32492238655686373,0.047649060375988435,3.0,0.5797794961060087,1.0
2018-04-04,23.91871833801269,0.0106113288136273,1.0,0.0505214389413595,0.9066636264324188,0.04281490016728635,2.0,0.007706538774073152,1.0
2018-04-05,24.10923385620117,0.0079651223571499,1.0,0.2736787742802075,0.5163078733852932,0.210013359918126,7.0,0.06366541436208148,1.0
2018-04-06,23.529022216796875,-0.0240659509491238,-1.0,0.33358977106399834,0.41533146821893746,0.25107877387199545,8.0,0.08251099719200289,1.0
2018-04-09,23.658920288085938,0.0055207594302975,1.0,0.09477996240769108,0.6057688774807113,0.2994511434808373,14.0,-0.2046711810731462,1.0
2018-04-10,24.01397705078125,0.0150073104931212,1.0,0.21474877279251814,0.4280313557634751,0.35721986104423803,6.0,-0.1424710882517199,1.0
2018-04-11,23.72819709777832,-0.0119005674236551,-1.0,0.2330193356610834,0.35382648706436154,0.4131541680544615,10.0,-0.18013483239337807,1.0
2018-04-12,24.143875122070312,0.0175183147113571,1.0,0.2036632418632507,0.6989575207233429,0.09737922064959997,5.0,0.10628402121365071,1.0
2018-04-13,23.780153274536133,-0.0150647667657001,-1.0,0.19941614813763983,0.18158230371773237,0.6190015441653404,11.0,-0.4195853960277005,1.0
2018-04-16,23.88407325744629,0.0043700299872093,1.0,0.2071736373007297,0.5523104898631572,0.24051586948335166,10.0,-0.033342232182621945,1.0
2018-04-17,23.88407325744629,0.0,0.0,0.4349182024598121,0.032116715796291745,0.5329650491476059,2.0,-0.09804684668779379,1.0
2018-04-18,23.7714958190918,-0.0047134940988087,-1.0,0.12319558002054684,0.4586761737242341,0.41812824746593835,10.0,-0.2949326674453915,1.0
2018-04-19,24.135215759277344,0.0153006753531019,1.0,0.12676331906446384,0.6095566313181605,0.2636800509478364,7.0,-0.13691673188337258,1.0
2018-04-20,24.143875122070312,0.000358785389753,1.0,0.08302710752468549,0.5172965596430004,0.39967633760534227,8.0,-0.31664923008065676,1.0
2018-04-23,24.117889404296875,-0.0010762861239985,-1.0,0.07864401148011281,0.4222774284581343,0.4990785414353013,15.0,-0.4204345299551885,1.0
2018-04-24,23.96200942993164,-0.0064632510644758,-1.0,0.16703788977530262,0.45608070202999645,0.37688139246569735,9.0,-0.20984350269039473,1.0
2018-04-25,23.94469451904297,-0.0007225984506559,-1.0,0.23136385722318661,0.41156779788434505,0.3570683596190065,16.0,-0.1257045023958199,1.0
2018-04-26,23.953357696533203,0.0003617994576354,1.0,0.18025073164608324,0.5653424104675651,0.25440685404464597,8.0,-0.07415612239856273,1.0
2018-04-27,23.98799514770508,0.0014460374036369,1.0,0.2412821168545633,0.301405809354037,0.457312062382698,8.0,-0.2160299455281347,1.0
2018-04-30,23.7714958190918,-0.0090253198435382,-1.0,0.2589454412121664,0.5090871168808504,0.2319674312391064,11.0,0.02697800997305999,1.0
2018-05-01,23.780153274536133,0.0003641948117281,1.0,0.14427164041747642,0.5110939610749483,0.34463440828646225,6.0,-0.20036276786898582,1.0
2018-05-02,23.511695861816406,-0.0112891371901792,-1.0,0.06948547291436362,0.24687288861189566,0.6836416203794735,7.0,-0.6141561474651099,1.0
2018-05-03,23.312519073486328,-0.0084713918341188,-1.0,0.0250314397271722,0.07193235401064152,0.9030362367630005,4.0,-0.8780047970358282,1.0
2018-05-04,23.615617752075195,0.013001541259159,1.0,0.18975286604836583,0.4392575360834598,0.3709895499050617,4.0,-0.1812366838566959,1.0
2018-05-07,23.7714958190918,0.0066006347432052,1.0,0.29582099974728543,0.6285180959563988,0.07566089627261342,13.0,0.22016010347467202,1.0
2018-05-08,23.93603515625,0.0069217073427096,1.0,0.09409745534261067,0.34922109606365365,0.5566814454893271,3.0,-0.4625839901467164,1.0
2018-05-09,24.291091918945312,0.0148335662267191,1.0,0.24710508187611893,0.4808979034423828,0.27199700598915416,3.0,-0.02489192411303523,1.0
2018-05-10,24.490270614624023,0.0081996600376521,1.0,0.2635957822203636,0.6057433843612671,0.13066080324351784,5.0,0.13293497897684578,1.0
