Date,Price,Return,Sign
2018-03-20,24.87996482849121,,
2018-03-21,24.87130355834961,-0.0003481222823789043,-1.0
2018-03-22,23.953357696533203,-0.03690783073202608,-1.0
2018-03-23,23.22591781616211,-0.030369015049459103,-1.0
2018-03-26,23.97933578491211,0.032438673671088436,1.0
2018-03-27,23.511695861816406,-0.019501788009905763,-1.0
2018-03-28,23.55499839782715,0.0018417444775247205,1.0
2018-03-29,23.875415802001957,0.013602947398390297,1.0
2018-04-02,23.347150802612305,-0.02212589735695225,-1.0
2018-04-03,23.667573928833008,0.013724292481327227,1.0
2018-04-04,23.91871833801269,0.010611328813627363,1.0
2018-04-05,24.10923385620117,0.007965122357149967,1.0
2018-04-06,23.529022216796875,-0.024065950949123893,-1.0
2018-04-09,23.658920288085938,0.005520759430297506,1.0
2018-04-10,24.01397705078125,0.015007310493121206,1.0
2018-04-11,23.72819709777832,-0.011900567423655195,-1.0
2018-04-12,24.143875122070312,0.01751831471135712,1.0
2018-04-13,23.780153274536133,-0.015064766765700122,-1.0
2018-04-16,23.88407325744629,0.004370029987209367,1.0
2018-04-17,23.88407325744629,0.0,0.0
2018-04-18,23.7714958190918,-0.004713494098808724,-1.0
2018-04-19,24.135215759277344,0.015300675353101978,1.0
2018-04-20,24.143875122070312,0.00035878538975309127,1.0
2018-04-23,24.117889404296875,-0.001076286123998571,-1.0
2018-04-24,23.96200942993164,-0.006463251064475872,-1.0
2018-04-25,23.94469451904297,-0.0007225984506559202,-1.0
2018-04-26,23.953357696533203,0.00036179945763548105,1.0
2018-04-27,23.98799514770508,0.0014460374036369128,1.0
2018-04-30,23.7714958190918,-0.009025319843538271,-1.0
2018-05-01,23.780153274536133,0.0003641948117281135,1.0
2018-05-02,23.511695861816406,-0.01128913719017921,-1.0
2018-05-03,23.312519073486328,-0.008471391834118824,-1.0
2018-05-04,23.615617752075195,0.013001541259159088,1.0
2018-05-07,23.7714958190918,0.006600634743205269,1.0
2018-05-08,23.93603515625,0.006921707342709693,1.0
2018-05-09,24.291091918945312,0.014833566226719164,1.0
2018-05-10,24.490270614624023,0.008199660037652157,1.0
2018-05-11,24.47294807434082,-0.0007073233512111532,-1.0
2018-05-14,24.45562744140625,-0.0007077460746435227,-1.0
2018-05-15,24.412328720092773,-0.0017705013464576203,-1.0
2018-05-16,24.45562744140625,0.0017736415812654727,1.0
2018-05-17,24.40367317199707,-0.002124430032868996,-1.0
2018-05-18,24.204490661621094,-0.008161988933884645,-1.0
2018-05-21,24.37769317626953,0.007155800841662341,1.0
2018-05-22,24.54222679138184,0.006749351299263795,1.0
2018-05-23,24.386354446411133,-0.0063511899835202446,-1.0
2018-05-24,24.195837020874023,-0.00781246028207172,-1.0
2018-05-25,24.117889404296875,-0.0032215300718839712,-1.0
2018-05-29,23.312519073486328,-0.03339306841116296,-1.0
2018-05-30,23.73685836791992,0.01820220685272056,1.0
2018-05-31,23.537681579589844,-0.008391034114238916,-1.0
2018-06-01,23.797473907470703,0.011037294688621024,1.0
2018-06-04,23.875415802001957,0.0032752171442358424,1.0
2018-06-05,23.7714958190918,-0.004352593637403479,-1.0
2018-06-06,24.204490661621094,0.01821487574128744,1.0
2018-06-07,24.28243064880371,0.00322006309788625,1.0
2018-06-08,24.31707191467285,0.0014265979534815454,1.0
2018-06-11,24.265113830566406,-0.002136691633300436,-1.0
2018-06-12,24.204490661621094,-0.0024983673832572606,-1.0
2018-06-13,24.117889404296875,-0.0035779004208311704,-1.0
2018-06-14,23.892732620239254,-0.00933567528581114,-1.0
2018-06-15,23.89186668395996,-3.624266395374498e-05,-1.0
2018-06-18,23.8483829498291,-0.0018200224664761677,-1.0
2018-06-19,23.787498474121094,-0.00255298130007775,-1.0
2018-06-20,23.72661781311035,-0.002559355330152724,-1.0
2018-06-21,23.65703773498535,-0.0029325746582622436,-1.0
2018-06-22,23.54397201538086,-0.004779369288373969,-1.0
2018-06-25,23.29174423217773,-0.01071305143577106,-1.0
2018-06-26,23.21346664428711,-0.003360743923268794,-1.0
2018-06-27,22.92645072937012,-0.012364198734945209,-1.0
2018-06-28,23.126489639282227,0.008725245450044383,1.0
2018-06-29,23.126489639282227,0.0,0.0
2018-07-02,23.239559173583984,0.004889178429816621,1.0
2018-07-03,23.030824661254883,-0.008981861952285453,-1.0
2018-07-05,23.0830020904541,0.002265547585319272,1.0
2018-07-06,23.19606590270996,0.004898141576767268,1.0
2018-07-09,23.72661781311035,0.02287249538890168,1.0
2018-07-10,23.639636993408203,-0.003665959488506898,-1.0
2018-07-11,23.52657127380371,-0.0047828873022043306,-1.0
2018-07-12,23.57005882263184,0.001848443970947411,1.0
2018-07-13,23.465694427490234,-0.004427837704053417,-1.0
2018-07-16,23.88316345214844,0.017790610286356534,1.0
2018-07-17,23.90926170349121,0.001092746837958014,1.0
2018-07-18,24.29195022583008,0.01600586948625815,1.0
2018-07-19,23.92665672302246,-0.01503763590043905,-1.0
2018-07-20,23.970144271850582,0.0018175355350118494,1.0
2018-07-23,24.300647735595703,0.013788129933504312,1.0
2018-07-24,24.37022590637207,0.0028632228874478916,1.0
2018-07-25,24.422407150268555,0.0021411883540578547,1.0
2018-07-26,24.41371154785156,-0.0003560501781618708,-1.0
2018-07-27,24.46589469909668,0.0021374526008812733,1.0
2018-07-30,24.483295440673828,0.000711224412234257,1.0
2018-07-31,24.309341430664062,-0.007105008001528135,-1.0
2018-08-01,24.309341430664062,0.0,0.0
2018-08-02,24.31803703308105,0.0003577062110791118,1.0
2018-08-03,24.45720100402832,0.005722664652494602,1.0
