Date,Price,Return,Sign,avg_positive_XLY,avg_neutral_XLY,avg_negative_XLY,n_XLY,sent_index_XLY
2018-03-20,97.19348907470705,,,0.17809293077637747,0.5971745724479357,0.22473248125364384,6.0,-0.04663955047726637
2018-03-21,97.11907958984376,-0.0007655809619725,-1.0,0.16851098675812987,0.36889693194202017,0.4625920689265643,7.0,-0.2940810821684344
2018-03-22,95.05410766601562,-0.0212622682643718,-1.0,0.29141896978641546,0.31722666913022596,0.3913543801754713,12.0,-0.09993541038905585
2018-03-23,93.18446350097656,-0.019669262180739,-1.0,0.46472269436344504,0.21788263134658334,0.3173947070414821,6.0,0.14732798732196295
2018-03-26,95.9377670288086,0.0295468088175789,1.0,0.167230164366109,0.2857929462833063,0.5469768832304648,7.0,-0.3797467188643558
2018-03-27,94.05880737304688,-0.0195851927134962,-1.0,0.14593077214578018,0.5664143464886225,0.28765486975988513,13.0,-0.14172409761410495
2018-03-28,92.91468811035156,-0.0121638716740009,-1.0,0.11049940849009611,0.2885229223622725,0.6009776542822902,13.0,-0.4904782457921941
2018-03-29,94.21694946289062,0.0140156672644955,1.0,0.1927240217919461,0.5367933621164411,0.27048260602168733,16.0,-0.07775858422974125
2018-04-02,91.55664825439452,-0.0282359089703273,-1.0,0.04072758467454044,0.3775222464982006,0.5817501625667015,9.0,-0.5410225778921611
2018-04-03,92.71934509277344,0.0126992071088962,1.0,0.23580473614856598,0.3380926105060747,0.42610267230442583,14.0,-0.19029793615585985
2018-04-04,94.42157745361328,0.018358977397183,1.0,0.0443732719868421,0.33924756695826846,0.6163791466193894,6.0,-0.5720058746325474
2018-04-05,95.68659210205078,0.0133975165693347,1.0,0.06297924034297463,0.4301780067384243,0.5068427519872784,10.0,-0.4438635116443037
2018-04-06,93.64955139160156,-0.0212886744704701,-1.0,0.5686665568500757,0.22437054058536887,0.2069628909230232,4.0,0.3617036659270525
2018-04-09,93.42630767822266,-0.0023838204247813,-1.0,0.4468746602535248,0.5176480948925019,0.03547724988311525,5.0,0.41139741037040956
2018-04-10,94.56111907958984,0.0121465937118663,1.0,0.1853069924852914,0.38864397009213764,0.42604901848567855,9.0,-0.24074202600038716
2018-04-11,94.27273559570312,-0.003049704642814,-1.0,0.19806643269423924,0.6531122236379555,0.1488213504531553,7.0,0.049245082241083926
2018-04-12,94.68202209472656,0.0043415150354679,1.0,0.2766573324333876,0.4387000394053757,0.2846426262985915,8.0,-0.007985293865203913
