Date,Price,Return,Sign,avg_positive_XLV,avg_neutral_XLV,avg_negative_XLV,n_XLV,sent_index_XLV,is_trading_day
2018-03-20,74.04859924316406,,,0.7747353911399841,0.0864619463682174,0.1388026177883148,1.0,0.6359327733516693,1.0
2018-03-21,73.73171997070312,-0.004279341887621,-1.0,0.0656964406371116,0.9240380525588988,0.0102654788643121,1.0,0.05543096177279949,1.0
2018-03-22,71.61053466796875,-0.0287689654273251,-1.0,0.11136557720601556,0.7249906063079834,0.16364379599690435,2.0,-0.052278218790888786,1.0
2018-03-23,70.12303924560547,-0.0207720194976931,-1.0,0.0438816025853157,0.1496642976999282,0.8064541816711426,1.0,-0.7625725790858269,1.0
2018-03-26,71.5753173828125,0.0207104277400247,1.0,0.21963532269001,0.7649847865104675,0.0153798954561352,1.0,0.2042554272338748,1.0
2018-03-27,70.73033905029297,-0.0118054430412128,-1.0,0.1176301091909408,0.8416244983673096,0.0407454073429107,1.0,0.0768847018480301,1.0
2018-03-28,71.10884857177734,0.0053514450314628,1.0,0.5356718450784683,0.3508544862270355,0.11347366683185099,2.0,0.4221981782466173,1.0
2018-03-29,71.64573669433594,0.0075502294488238,1.0,0.0176882706582546,0.2010773420333862,0.7812343835830688,1.0,-0.7635461129248142,1.0
2018-04-02,70.01741790771484,-0.0227273646939807,-1.0,0.04095339775085443,0.8514019052187601,0.10764470758537448,3.0,-0.06669130983452004,1.0
2018-04-03,71.08243560791016,0.0152107537241523,1.0,0.04797029495239255,0.527828261256218,0.4242014689370989,2.0,-0.3762311739847064,1.0
2018-04-04,72.0946273803711,0.014239688944315,1.0,,,,,,
2018-04-05,72.04181671142578,-0.0007325187862707,-1.0,,,,,,
2018-04-06,70.30787658691406,-0.0240685230281917,-1.0,,,,,,
2018-04-09,71.00323486328125,0.0098901902620767,1.0,0.7012217938899994,0.2863232903182506,0.012454933486878851,2.0,0.6887668604031205,1.0
2018-04-10,72.20024108886719,0.0168584745172639,1.0,0.7989377379417419,0.0898293554782867,0.1112329810857772,1.0,0.6877047568559648,1.0
2018-04-11,71.61053466796875,-0.0081676516865449,-1.0,,,,,,
2018-04-12,72.0946273803711,0.0067600767770676,1.0,0.06472949963062995,0.829960972070694,0.10530953854322431,2.0,-0.04058003891259436,1.0
2018-04-13,72.05941772460938,-0.0004883811324241,-1.0,0.0837056189775466,0.8970097303390503,0.0192846730351448,1.0,0.0644209459424018,1.0
2018-04-16,72.63153839111328,0.0079395682697629,1.0,0.3087582737207412,0.6402015561858813,0.051040164815882805,3.0,0.2577181089048584,1.0
2018-04-17,73.19483947753906,0.0077555989987774,1.0,0.453266141936183,0.5014250911772251,0.0453087547793984,2.0,0.4079573871567846,1.0
2018-04-18,73.2564468383789,0.0008416899508161,1.0,,,,,,
2018-04-19,72.64031982421875,-0.008410550071033,-1.0,0.0802356600761413,0.9036803245544434,0.0160840228199958,1.0,0.0641516372561455,1.0
2018-04-20,72.2530517578125,-0.0053313100402557,-1.0,,,,,,
2018-04-23,72.53470611572266,0.0038981655592105,1.0,0.12893999740481377,0.8391657173633575,0.03189423773437735,2.0,0.09704575967043641,1.0
2018-04-24,71.98900604248047,-0.0075232961221566,-1.0,0.1450876742601394,0.8473220467567444,0.0075902696698904,1.0,0.137497404590249,1.0
2018-04-25,72.31466674804688,0.0045237561048452,1.0,,,,,,
2018-04-26,73.23002624511719,0.0126580061588272,1.0,,,,,,
2018-04-27,73.52928924560547,0.0040866160485397,1.0,,,,,,
2018-04-30,72.4026870727539,-0.0153218150809052,-1.0,0.2368070442229509,0.5332766164094209,0.22991632968187323,5.0,0.006890714541077675,1.0
2018-05-01,72.36747741699219,-0.0004863031633941,-1.0,0.2902947658052047,0.2717806758979956,0.4379245589176814,3.0,-0.1476297931124767,1.0
2018-05-02,71.37288665771484,-0.0137436151538952,-1.0,0.0616917572915554,0.5328642874956131,0.4054439011961221,2.0,-0.3437521439045667,1.0
2018-05-03,70.73033905029297,-0.0090026848781297,-1.0,0.9267761707305908,0.0563396289944648,0.0168841984122991,1.0,0.9098919723182917,1.0
2018-05-04,71.29366302490234,0.0079643895699244,1.0,0.4872086346149444,0.4655797183513641,0.0472116991877555,1.0,0.4399969354271889,1.0
2018-05-07,71.18804168701172,-0.0014814968597381,-1.0,0.0411650612950325,0.941494643688202,0.0173402931541204,1.0,0.0238247681409121,1.0
2018-05-08,70.651123046875,-0.0075422588880497,-1.0,0.5324172377586365,0.4560072124004364,0.0115755405277013,1.0,0.5208416972309352,1.0
2018-05-09,71.05601501464844,0.0057308638605051,1.0,0.3507224917411804,0.5674556493759155,0.0818218365311622,1.0,0.2689006552100182,1.0
2018-05-10,72.00662231445312,0.013378280496151,1.0,0.33669832721352577,0.3197848747173945,0.34351679620643455,3.0,-0.006818468992908777,1.0
2018-05-11,73.08041381835938,0.0149123992959563,1.0,0.7336266040802002,0.1550340801477432,0.1113393008708953,1.0,0.6222873032093049,1.0
2018-05-14,73.56449890136719,0.0066240057727504,1.0,0.48449270365138847,0.1751140890022119,0.3403932222475608,3.0,0.14409948140382767,1.0
2018-05-15,72.61390686035156,-0.0129218856270624,-1.0,0.0443490147590637,0.1690499186515808,0.7866010665893555,1.0,-0.7422520518302917,1.0
2018-05-16,73.01879119873047,0.0055758511817518,1.0,0.0329796336591243,0.9311845898628236,0.0358357317745685,1.0,-0.002856098115444204,1.0
2018-05-17,73.04522705078125,0.0003620417650962,1.0,0.0318950675427913,0.1708673387765884,0.7972375750541687,1.0,-0.7653425075113774,1.0
