Date,Price,Return,Sign
2018-04-02,70.01741790771484,-0.022727364693980734,-1.0
2018-04-03,71.08243560791016,0.01521075372415237,1.0
2018-04-04,72.0946273803711,0.014239688944315043,1.0
2018-04-05,72.04181671142578,-0.000732518786270786,-1.0
2018-04-06,70.30787658691406,-0.024068523028191735,-1.0
2018-04-09,71.00323486328125,0.009890190262076715,1.0
2018-04-10,72.20024108886719,0.016858474517263966,1.0
2018-04-11,71.61053466796875,-0.008167651686544986,-1.0
2018-04-12,72.0946273803711,0.006760076777067692,1.0
2018-04-13,72.05941772460938,-0.0004883811324241094,-1.0
2018-04-16,72.63153839111328,0.007939568269762942,1.0
2018-04-17,73.19483947753906,0.007755598998777424,1.0
2018-04-18,73.2564468383789,0.0008416899508161269,1.0
2018-04-19,72.64031982421875,-0.008410550071033085,-1.0
2018-04-20,72.2530517578125,-0.005331310040255777,-1.0
2018-04-23,72.53470611572266,0.00389816555921052,1.0
2018-04-24,71.98900604248047,-0.007523296122156631,-1.0
2018-04-25,72.31466674804688,0.0045237561048452335,1.0
2018-04-26,73.23002624511719,0.012658006158827284,1.0
2018-04-27,73.52928924560547,0.004086616048539771,1.0
2018-04-30,72.4026870727539,-0.015321815080905243,-1.0
2018-05-01,72.36747741699219,-0.0004863031633941528,-1.0
2018-05-02,71.37288665771484,-0.013743615153895217,-1.0
2018-05-03,70.73033905029297,-0.009002684878129719,-1.0
2018-05-04,71.29366302490234,0.007964389569924402,1.0
2018-05-07,71.18804168701172,-0.0014814968597381961,-1.0
2018-05-08,70.651123046875,-0.007542258888049713,-1.0
2018-05-09,71.05601501464844,0.005730863860505142,1.0
2018-05-10,72.00662231445312,0.013378280496151085,1.0
2018-05-11,73.08041381835938,0.014912399295956336,1.0
2018-05-14,73.56449890136719,0.006624005772750463,1.0
2018-05-15,72.61390686035156,-0.012921885627062424,-1.0
2018-05-16,73.01879119873047,0.005575851181751856,1.0
2018-05-17,73.04522705078125,0.00036204176509624375,1.0
2018-05-18,73.23002624511719,0.0025299283991200294,1.0
2018-05-21,73.30044555664062,0.0009616180019891285,1.0
2018-05-22,73.15963745117188,-0.0019209720268336117,-1.0
2018-05-23,73.39726257324219,0.003248035807024152,1.0
2018-05-24,73.10679626464844,-0.003957454248431969,-1.0
2018-05-25,73.00118255615234,-0.0014446496617601667,-1.0
2018-05-29,72.2530517578125,-0.010248201085843789,-1.0
2018-05-30,73.33566284179688,0.014983603566161019,1.0
2018-05-31,72.53470611572266,-0.010921790231883222,-1.0
2018-06-01,73.3708724975586,0.011527810983364306,1.0
2018-06-04,73.64371490478516,0.003718674699358937,1.0
2018-06-05,73.49407958984375,-0.0020318816770021897,-1.0
2018-06-06,74.32144165039062,0.011257533466154213,1.0
2018-06-07,74.41826629638672,0.0013027821291675679,1.0
2018-06-08,74.84956359863281,0.005795583849378616,1.0
2018-06-11,74.99036407470703,0.0018811128522970844,1.0
2018-06-12,74.94637298583984,-0.0005866232203295407,-1.0
2018-06-13,74.96397399902344,0.00023484809847862387,1.0
2018-06-14,75.35126495361328,0.005166361038902334,1.0
2018-06-15,75.49787902832031,0.0019457413859911288,1.0
2018-06-18,74.77346801757812,-0.009595117373700668,-1.0
2018-06-19,74.96782684326172,0.002599302009610005,1.0
2018-06-20,75.1268539428711,0.0021212713013791795,1.0
2018-06-21,74.69397735595703,-0.005761942157770039,-1.0
2018-06-22,75.02969360351562,0.004494555778690401,1.0
2018-06-25,74.34060668945312,-0.009184189365131767,-1.0
2018-06-26,74.11090087890625,-0.003089910356885217,-1.0
2018-06-27,73.4836654663086,-0.008463470355360103,-1.0
2018-06-28,73.58084869384766,0.0013225146965976098,1.0
2018-06-29,73.7310562133789,0.0020413942241441774,1.0
2018-07-02,73.96070861816406,0.0031147309774124388,1.0
2018-07-03,74.1374282836914,0.0023893722603400835,1.0
2018-07-05,74.9059829711914,0.010366621897903938,1.0
2018-07-06,75.9837875366211,0.014388764724497571,1.0
2018-07-09,76.54033660888672,0.007324576601257071,1.0
2018-07-10,76.83185577392578,0.0038086998039830178,1.0
2018-07-11,76.22229766845703,-0.007933663704054572,-1.0
2018-07-12,77.07040405273438,0.011126749130108138,1.0
2018-07-13,77.21173095703125,0.0018337376848338582,1.0
2018-07-16,76.7435302734375,-0.006063854258808288,-1.0
2018-07-17,77.16757202148438,0.005525439689000766,1.0
2018-07-18,77.22940063476562,0.0008012253290026194,1.0
2018-07-19,76.79653930664062,-0.005604877476287795,-1.0
2018-07-20,76.64634704589844,-0.001955716521840678,-1.0
2018-07-23,76.80537414550781,0.0020748164229424937,1.0
2018-07-24,77.50325775146484,0.00908639029132119,1.0
2018-07-25,78.49272918701172,0.012766836701495698,1.0
2018-07-26,78.2718505859375,-0.002814000778950665,-1.0
2018-07-27,77.70645904541016,-0.007223433920302891,-1.0
2018-07-30,77.7506332397461,0.0005684751934214027,1.0
2018-07-31,78.56340026855469,0.010453510086566142,1.0
2018-08-01,78.5810317993164,0.0002244242319127121,1.0
2018-08-02,78.8725814819336,0.0037101788553981496,1.0
2018-08-03,79.34081268310547,0.005936552251419869,1.0
2018-08-06,79.48217010498047,0.0017816482727444072,1.0
2018-08-07,79.49099731445312,0.00011105898921726087,1.0
2018-08-08,79.61469268798828,0.001556092862262659,1.0
2018-08-09,79.52632141113281,-0.0011099870372143217,-1.0
2018-08-10,79.18180084228516,-0.004332157740159603,-1.0
2018-08-13,79.20832061767578,0.00033492260984879785,1.0
2018-08-14,79.57933044433594,0.004683975417822062,1.0
2018-08-15,79.44682312011719,-0.0016650972492340266,-1.0
2018-08-16,80.2242431640625,0.009785413858146574,1.0
2018-08-17,80.47160339355469,0.0030833600883752865,1.0
2018-08-20,80.73663330078125,0.0032934587612278854,1.0
2018-08-21,80.73663330078125,0.0,0.0
2018-08-22,80.8161392211914,0.000984756450197244,1.0
2018-08-23,80.78961944580078,-0.00032814949645199043,-1.0
2018-08-24,81.1783447265625,0.004811574598670987,1.0
2018-08-27,81.4698715209961,0.003591189194797728,1.0
2018-08-28,81.51405334472656,0.0005423087443936492,1.0
2018-08-29,82.04412841796875,0.006502867315412164,1.0
2018-08-30,81.98225402832031,-0.0007541598751981127,-1.0
2018-08-31,81.96459197998047,-0.0002154374571567974,-1.0
2018-09-04,81.31086730957031,-0.007975696024569046,-1.0
2018-09-05,81.63773345947266,0.0040199565041889596,1.0
2018-09-06,81.63773345947266,0.0,0.0
2018-09-07,81.76139068603516,0.0015147067577996332,1.0
2018-09-10,81.54939270019531,-0.002592886251824189,-1.0
2018-09-11,81.47870635986328,-0.0008667917441383954,-1.0
2018-09-12,81.88509368896484,0.004987650728114135,1.0
2018-09-13,82.90103912353516,0.012406964305729629,1.0
2018-09-14,82.62718963623047,-0.0033033299726992205,-1.0
2018-09-17,82.32679748535156,-0.0036355121383335742,-1.0
2018-09-18,82.8038558959961,0.005794691706906496,1.0
2018-09-19,82.68900299072266,-0.0013870477893891398,-1.0
2018-09-20,83.4929428100586,0.009722451477932825,1.0
2018-09-21,83.60553741455078,0.0013485523530814003,1.0
2018-09-24,83.77405548095703,0.002015632835067782,1.0
2018-09-25,83.51688385009766,-0.003069824295635737,-1.0
2018-09-26,83.70310974121094,0.002229799323542059,1.0
2018-09-27,84.12879943847656,0.005085709462668175,1.0
2018-09-28,84.38600158691406,0.003057242587011899,1.0
2018-10-01,84.8028335571289,0.004939586689452602,1.0
2018-10-02,84.7052993774414,-0.0011501287822156536,-1.0
2018-10-03,84.54564666748047,-0.0018848019089046097,-1.0
2018-10-04,83.72083282470703,-0.009755840487180145,-1.0
2018-10-05,83.62329864501953,-0.0011649929461609032,-1.0
2018-10-08,83.58782958984375,-0.00042415278696850134,-1.0
2018-10-09,83.729736328125,0.0016976961715309269,1.0
2018-10-10,81.75198364257812,-0.023620672562449485,-1.0
2018-10-11,79.54367065429688,-0.027012347467139763,-1.0
2018-10-12,80.767578125,0.015386610407034373,1.0
2018-10-15,80.20883178710938,-0.006917953352840178,-1.0
2018-10-16,82.40827178955078,0.027421419230729827,1.0
2018-10-17,82.84284973144531,0.005273474767245823,1.0
2018-10-18,81.90275573730469,-0.011347919551152108,-1.0
2018-10-19,81.15778350830078,-0.009095813960073973,-1.0
2018-10-22,80.49263000488281,-0.00819580667022457,-1.0
2018-10-23,80.05805969238281,-0.0053988832576801205,-1.0
2018-10-24,77.41520690917969,-0.03301170167448586,-1.0
2018-10-25,78.41736602783203,0.012945248855667835,1.0
2018-10-26,77.53047943115234,-0.011309823851580414,-1.0
2018-10-29,77.72559356689453,0.002516612010834418,1.0
2018-10-30,78.55926513671875,0.010725830856559648,1.0
2018-10-31,78.66565704345703,0.0013542884668424904,1.0
2018-11-01,79.65897369384766,0.01262706863100238,1.0
2018-11-02,79.1623306274414,-0.006234615428451162,-1.0
2018-11-05,79.86295318603516,0.008850453909588163,1.0
2018-11-06,80.27091979980469,0.005108333682817934,1.0
2018-11-07,82.62999725341797,0.029388942589630318,1.0
2018-11-08,82.67435455322266,0.0005368183623273293,1.0
2018-11-09,82.43489074707031,-0.00289647022279671,-1.0
2018-11-12,81.31741333007812,-0.013555879153414163,-1.0
2018-11-13,80.74981689453125,-0.006980010950950022,-1.0
2018-11-14,80.10240936279297,-0.008017448913647307,-1.0
