Date,Price,avg_positive_XLF,avg_neutral_XLF,avg_negative_XLF,n_XLF,sent_index_XLF,Sign_next_day
2018-03-20,24.87996482849121,0.0612603174522518,0.535399672575295,0.4033400360494851,4.0,-0.3420797185972333,-1.0
2018-03-21,24.87130355834961,0.2635124154122812,0.4854528687096068,0.2510347037043954,14.0,0.0124777117078857,-1.0
2018-03-22,23.953357696533203,0.2810999139804732,0.3230447444048794,0.3958553306081078,11.0,-0.1147554166276346,-1.0
2018-03-23,23.22591781616211,0.2881744136102497,0.3072459806377689,0.4045796090116103,6.0,-0.1164051954013606,1.0
2018-03-26,23.97933578491211,0.2254925051238387,0.4534203419461846,0.3210871496703475,8.0,-0.0955946445465087,-1.0
2018-03-27,23.511695861816406,0.2083015562966465,0.5012796968221663,0.2904187376843765,8.0,-0.0821171813877299,1.0
2018-03-28,23.55499839782715,0.0929450205294414,0.6529017072170973,0.2541532927425577,8.0,-0.1612082722131163,1.0
2018-03-29,23.87541580200196,0.0552421607077121,0.5923293888568878,0.3524284558370709,5.0,-0.2971862951293588,-1.0
2018-04-02,23.347150802612305,0.0210765693336725,0.5309983491897583,0.4479250609874725,1.0,-0.4268484916537999,1.0
2018-04-03,23.667573928833008,0.6274285564819971,0.3249223865568637,0.0476490603759884,3.0,0.5797794961060088,1.0
2018-04-04,23.91871833801269,0.0505214389413595,0.9066636264324188,0.0428149001672863,2.0,0.0077065387740731,1.0
2018-04-05,24.10923385620117,0.2736787742802075,0.5163078733852932,0.210013359918126,7.0,0.0636654143620814,-1.0
2018-04-06,23.529022216796875,0.3335897710639983,0.4153314682189374,0.2510787738719955,8.0,0.0825109971920028,1.0
2018-04-09,23.658920288085938,0.0408511718735098,0.6331025317311287,0.3260462816804647,10.0,-0.2851951098069549,1.0
2018-04-10,24.01397705078125,0.2147487727925181,0.4280313557634751,0.357219861044238,6.0,-0.1424710882517199,-1.0
2018-04-11,23.72819709777832,0.2330193356610834,0.3538264870643616,0.4131541680544615,10.0,-0.180134832393378,1.0
2018-04-12,24.143875122070312,0.2036632418632507,0.6989575207233429,0.0973792206495999,5.0,0.1062840212136507,-1.0
2018-04-13,23.780153274536133,0.1994161481376398,0.1815823037177323,0.6190015441653404,11.0,-0.4195853960277005,1.0
2018-04-16,23.88407325744629,0.3768460664898157,0.3935708984732628,0.2295830231159925,5.0,0.1472630433738232,0.0
2018-04-17,23.88407325744629,0.4349182024598121,0.0321167157962917,0.5329650491476059,2.0,-0.0980468466877937,-1.0
2018-04-18,23.7714958190918,0.1231955800205468,0.4586761737242341,0.4181282474659383,10.0,-0.2949326674453915,1.0
2018-04-19,24.135215759277344,0.1267633190644638,0.6095566313181605,0.2636800509478364,7.0,-0.1369167318833725,1.0
2018-04-20,24.143875122070312,0.0830271075246855,0.5172965596430004,0.3996763376053422,8.0,-0.3166492300806567,-1.0
2018-04-23,24.117889404296875,0.0668970605668921,0.4260240867733955,0.5070788175798951,6.0,-0.440181757013003,-1.0
2018-04-24,23.96200942993164,0.1670378897753026,0.4560807020299964,0.3768813924656973,9.0,-0.2098435026903947,-1.0
2018-04-25,23.94469451904297,0.2313638572231866,0.411567797884345,0.3570683596190064,16.0,-0.1257045023958198,1.0
2018-04-26,23.953357696533203,0.1802507316460832,0.5653424104675651,0.2544068540446459,8.0,-0.0741561223985627,1.0
2018-04-27,23.98799514770508,0.2412821168545633,0.301405809354037,0.457312062382698,8.0,-0.2160299455281347,-1.0
2018-04-30,23.7714958190918,0.3621420053144296,0.4412289696435134,0.1966290205406645,6.0,0.165512984773765,1.0
2018-05-01,23.780153274536133,0.1442716404174764,0.5110939610749483,0.3446344082864622,6.0,-0.2003627678689858,-1.0
2018-05-02,23.511695861816406,0.0694854729143636,0.2468728886118956,0.6836416203794735,7.0,-0.6141561474651099,-1.0
2018-05-03,23.312519073486328,0.0250314397271722,0.0719323540106415,0.9030362367630004,4.0,-0.8780047970358282,1.0
2018-05-04,23.615617752075195,0.1897528660483658,0.4392575360834598,0.3709895499050617,4.0,-0.1812366838566959,1.0
2018-05-07,23.7714958190918,0.2166723229456692,0.7190705351531506,0.0642571279313414,8.0,0.1524151950143277,1.0
2018-05-08,23.93603515625,0.0940974553426106,0.3492210960636536,0.5566814454893271,3.0,-0.4625839901467164,1.0
2018-05-09,24.291091918945312,0.2471050818761189,0.4808979034423828,0.2719970059891541,3.0,-0.0248919241130352,1.0
2018-05-10,24.490270614624023,0.2635957822203636,0.6057433843612671,0.1306608032435178,5.0,0.1329349789768457,-1.0
2018-05-11,24.47294807434082,0.1172583757766655,0.7192503213882446,0.1634912818138088,7.0,-0.0462329060371432,-1.0
2018-05-14,24.45562744140625,0.2239772307686507,0.4994235528632998,0.2765992221422493,10.0,-0.0526219913735985,-1.0
2018-05-15,24.412328720092773,0.032131066545844,0.4699537139385938,0.4979152232408523,2.0,-0.4657841566950083,1.0
2018-05-16,24.45562744140625,0.2205186790476242,0.3442764166328642,0.4352049146675401,9.0,-0.2146862356199159,-1.0
2018-05-17,24.40367317199707,0.0240255935350432,0.4376549646258354,0.5383194414898753,8.0,-0.514293847954832,-1.0
2018-05-18,24.204490661621094,0.137467061751522,0.402982500847429,0.459550424828194,8.0,-0.3220833630766719,1.0
2018-05-21,24.37769317626953,0.1889560309549172,0.4787787174185117,0.3322652286539475,3.0,-0.1433091976990302,1.0
2018-05-22,24.54222679138184,0.1943026742498789,0.5540245284459421,0.2516728062182664,7.0,-0.0573701319683874,-1.0
