Date,Price,avg_positive_XLY,avg_neutral_XLY,avg_negative_XLY,n_XLY,sent_index_XLY,Sign_next_day
2018-03-20,97.19348907470705,0.1780929307763774,0.5971745724479357,0.2247324812536438,6.0,-0.0466395504772663,-1.0
2018-03-21,97.11907958984376,0.1685109867581298,0.3688969319420201,0.4625920689265643,7.0,-0.2940810821684344,-1.0
2018-03-22,95.05410766601562,0.2914189697864154,0.3172266691302259,0.3913543801754713,12.0,-0.0999354103890558,-1.0
2018-03-23,93.18446350097656,0.464722694363445,0.2178826313465833,0.3173947070414821,6.0,0.1473279873219629,1.0
2018-03-26,95.9377670288086,0.167230164366109,0.2857929462833063,0.5469768832304648,7.0,-0.3797467188643558,-1.0
2018-03-27,94.05880737304688,0.1459307721457801,0.5664143464886225,0.2876548697598851,13.0,-0.1417240976141049,-1.0
2018-03-28,92.91468811035156,0.1104994084900961,0.2885229223622725,0.6009776542822902,13.0,-0.4904782457921941,1.0
2018-03-29,94.21694946289062,0.1927240217919461,0.5367933621164411,0.2704826060216873,16.0,-0.0777585842297412,-1.0
2018-04-02,91.55664825439452,0.0407275846745404,0.3775222464982006,0.5817501625667015,9.0,-0.5410225778921611,1.0
2018-04-03,92.71934509277344,0.2358047361485659,0.3380926105060747,0.4261026723044258,14.0,-0.1902979361558598,1.0
2018-04-04,94.42157745361328,0.0443732719868421,0.3392475669582684,0.6163791466193894,6.0,-0.5720058746325474,1.0
2018-04-05,95.68659210205078,0.0629792403429746,0.4301780067384243,0.5068427519872784,10.0,-0.4438635116443037,-1.0
2018-04-06,93.64955139160156,0.5686665568500757,0.2243705405853688,0.2069628909230232,4.0,0.3617036659270525,-1.0
2018-04-09,93.42630767822266,0.4468746602535248,0.5176480948925019,0.0354772498831152,5.0,0.4113974103704095,1.0
2018-04-10,94.56111907958984,0.1853069924852914,0.3886439700921376,0.4260490184856785,9.0,-0.2407420260003871,-1.0
2018-04-11,94.27273559570312,0.1980664326942392,0.6531122236379555,0.1488213504531553,7.0,0.0492450822410839,1.0
2018-04-12,94.68202209472656,0.2766573324333876,0.4387000394053757,0.2846426262985915,8.0,-0.0079852938652039,-1.0
2018-04-13,94.15186309814452,0.0318046477623283,0.5894326940178871,0.3787626661360264,4.0,-0.346958018373698,1.0
2018-04-16,94.85875701904295,0.3073596289115293,0.4393043246652399,0.2533360244706273,7.0,0.0540236044409019,1.0
2018-04-17,96.6260757446289,0.1944919958795335,0.2958302724767815,0.5096777354959737,11.0,-0.3151857396164401,1.0
2018-04-18,97.08187103271484,0.1191293709756185,0.4173952719817559,0.4634753568097949,6.0,-0.3443459858341763,-1.0
2018-04-19,96.77490997314452,0.1913013969632712,0.479216192425652,0.3294823926619508,11.0,-0.1381809956986796,-1.0
2018-04-20,95.78893280029295,0.2465849296588982,0.3482261611414807,0.4051889310191784,7.0,-0.1586040013602802,1.0
2018-04-23,95.99356079101562,0.2477097012102604,0.4774771235883236,0.2748131643980741,5.0,-0.0271034631878137,-1.0
2018-04-24,94.47737884521484,0.0962459994480013,0.3487791470251977,0.5549748688936234,8.0,-0.458728869445622,1.0
2018-04-25,94.86805725097656,0.1669923433413108,0.5314177975058556,0.3015898498396078,15.0,-0.134597506498297,1.0
2018-04-26,96.40284729003906,0.1621181174181401,0.3349836328998207,0.5028982780873775,10.0,-0.3407801606692374,1.0
2018-04-27,96.84001159667967,0.5189969088468287,0.1738142974467741,0.307188782427046,9.0,0.2118081264197827,-1.0
2018-04-30,96.45864868164062,0.2948610378163201,0.266229499131441,0.4389094713010958,7.0,-0.1440484334847756,1.0
2018-05-01,96.58887481689452,0.0245719458907842,0.486643205396831,0.4887848962098359,2.0,-0.4642129503190517,-1.0
2018-05-02,95.9284439086914,0.0717620293920238,0.4424970423181851,0.4857408851385116,3.0,-0.4139788557464878,-1.0
2018-05-03,95.50056457519533,0.0578743789551986,0.4832860053413444,0.4588396151860555,9.0,-0.4009652362308569,1.0
2018-05-04,96.75629425048828,0.2363895948510617,0.2839811537414788,0.4796292618848383,4.0,-0.2432396670337766,1.0
2018-05-07,97.08187103271484,0.1815370033894266,0.6991556201662336,0.1193073572857038,7.0,0.0622296461037227,-1.0
2018-05-08,96.67257690429688,0.086699460633099,0.6511612832546234,0.2621392358560115,4.0,-0.1754397752229125,1.0
2018-05-09,97.0074691772461,0.4582979072417531,0.4913761557212898,0.0503259152173995,7.0,0.4079719920243536,1.0
2018-05-10,97.36089324951172,0.323991465071837,0.3655612021684646,0.3104474029193321,3.0,0.0135440621525049,1.0
2018-05-11,97.56556701660156,0.2206181897781789,0.4451634436845779,0.3342183521017432,4.0,-0.1136001623235643,1.0
2018-05-14,97.7515640258789,0.2269391544008006,0.5866727496807774,0.1863881102763116,12.0,0.040551044124489,-1.0
2018-05-15,97.1841812133789,0.2636521732783876,0.4216435645939782,0.3147042500786483,16.0,-0.0510520768002607,1.0
2018-05-16,97.99343872070312,0.1668365107228358,0.4813505963732798,0.3518128710178037,6.0,-0.1849763602949679,-1.0
2018-05-17,97.6678695678711,0.3902740005403757,0.4389629669487476,0.1707629956305026,5.0,0.219511004909873,-1.0
2018-05-18,97.54695892333984,0.2142066245691643,0.4750471893284056,0.3107461943808529,9.0,-0.0965395698116885,1.0
2018-05-21,98.08642578125,0.1531597128137945,0.4118664791807532,0.434973824955523,10.0,-0.2818141121417284,-1.0
2018-05-22,97.64926147460938,0.0969169493764638,0.3926737100950309,0.5104093344083854,7.0,-0.4134923850319215,1.0
