Date,Price,avg_positive_XLE,avg_neutral_XLE,avg_negative_XLE,n_XLE,sent_index_XLE,Sign_next_day
2018-03-20,47.900123596191406,0.6174949208895365,0.3647681586444378,0.0177369058753053,3.0,0.5997580150142312,1.0
2018-03-21,49.15442657470703,0.0729572772979736,0.8961561620235443,0.0308865699917077,2.0,0.0420707073062658,-1.0
2018-03-22,48.15097427368164,0.0884831100702285,0.8751792311668396,0.0363376243039965,2.0,0.0521454857662319,-1.0
2018-03-23,47.85711669921875,0.4277238827198744,0.5187486112117767,0.0535275363363325,2.0,0.3741963463835419,1.0
2018-03-26,48.71721649169922,0.0314373010769486,0.5484990030527115,0.4200637005269527,2.0,-0.3886263994500041,-1.0
2018-03-27,48.258487701416016,0.1038273703306913,0.8770206272602081,0.0191519423387944,2.0,0.0846754279918969,-1.0
2018-03-28,47.319557189941406,,,,,,1.0
2018-03-29,48.31584548950195,0.0156194944866001,0.060177220031619,0.9242032766342164,2.0,-0.9085837821476164,-1.0
2018-04-02,47.34821701049805,0.4431416392326355,0.3757172006492813,0.1811411899204055,6.0,0.26200044931223,1.0
2018-04-03,48.358829498291016,0.8669972717761993,0.101776398718357,0.0312263485975563,2.0,0.835770923178643,-1.0
2018-04-04,48.2943229675293,0.3315628875667849,0.3726087597509225,0.2958283741027116,3.0,0.0357345134640733,1.0
2018-04-05,49.16158676147461,0.3038355149328708,0.3960175067186355,0.3001468908041715,2.0,0.0036886241286993,-1.0
2018-04-06,48.2728271484375,0.0301651268576581,0.0950004681944846,0.874834418296814,3.0,-0.8446692914391558,1.0
2018-04-09,48.50219345092773,0.0727586249510446,0.170578338826696,0.7566630244255066,3.0,-0.6839043994744619,1.0
2018-04-10,50.107704162597656,0.3642207073668639,0.4727238056560357,0.1630554985668924,9.0,0.2011652087999715,1.0
2018-04-11,50.63090515136719,0.2970208475987116,0.3564120847731828,0.3465670297543208,3.0,-0.0495461821556091,-1.0
2018-04-12,50.623756408691406,0.6097460240125656,0.36988640204072,0.0203676000237464,2.0,0.5893784239888192,1.0
2018-04-13,51.18281555175781,0.228786512898902,0.1354165039956569,0.635796976586183,3.0,-0.4070104636872809,1.0
2018-04-16,51.70602798461914,0.4200168872872987,0.3541195765137672,0.2258635461330413,3.0,0.1941533411542573,1.0
2018-04-17,51.9067497253418,0.2138337589567527,0.0583056099712848,0.7278606537729502,4.0,-0.5140268948161975,1.0
2018-04-18,52.72380828857422,0.4474590284128983,0.2129494994878768,0.3395914618546764,3.0,0.1078675665582219,1.0
2018-04-19,52.78832626342773,0.2406971234828233,0.388108903542161,0.3711939776316285,5.0,-0.1304968541488051,-1.0
2018-04-20,52.5374641418457,0.3565279005302322,0.3662947178300884,0.2771774041983816,9.0,0.0793504963318506,1.0
2018-04-23,52.86001205444336,0.8828783631324768,0.0249916110187768,0.0921300575137138,1.0,0.790748305618763,-1.0
2018-04-24,52.29378509521485,0.0238895090296864,0.2623612601310014,0.7137492001056671,2.0,-0.6898596910759807,1.0
2018-04-25,52.70949172973633,0.3625715343902508,0.3154894709587096,0.3219390405962865,3.0,0.0406324937939643,1.0
2018-04-26,53.47638320922852,0.4762026206590235,0.0295809935778378,0.4942163568921387,4.0,-0.0180137362331151,-1.0
2018-04-27,52.91015625,0.4621900037995406,0.0785057015184844,0.459304322621652,7.0,0.0028856811778885,-1.0
2018-04-30,52.90299987792969,0.1505293067544698,0.2949357096105814,0.5545349810272455,5.0,-0.4040056742727756,-1.0
2018-05-01,52.58047866821289,0.8602021336555481,0.1045551570132374,0.0352426758036017,2.0,0.8249594578519464,1.0
2018-05-02,52.79550552368164,,,,,,-1.0
2018-05-03,52.67364501953125,0.2211341708898544,0.1328465193510055,0.6460192799568176,1.0,-0.4248851090669632,1.0
2018-05-04,52.931671142578125,0.9030185341835022,0.0445404201745986,0.0524410642683506,1.0,0.8505774699151516,1.0
2018-05-07,53.00334930419922,0.4395484998822211,0.130870271474123,0.4295811541378497,2.0,0.0099673457443714,1.0
2018-05-08,53.4190673828125,0.35506297275424,0.0382755485673744,0.6066614696756005,3.0,-0.2515984969213605,1.0
2018-05-09,54.50850296020508,0.3354359308257699,0.352975444868207,0.3115886339917778,10.0,0.023847296833992,1.0
2018-05-10,54.91706085205078,0.2618119813501834,0.1919473323971032,0.5462407007813453,5.0,-0.2844287194311619,1.0
2018-05-11,54.99591064453125,0.0482070446014404,0.0584740601480007,0.8933188319206238,1.0,-0.8451117873191833,1.0
2018-05-14,55.37577438354492,0.5941613018512726,0.3616173537448048,0.0442213518545031,4.0,0.5499399499967694,1.0
2018-05-15,55.39010620117188,0.2873296967397133,0.2885370170697569,0.4241332579404115,6.0,-0.1368035612006982,1.0
2018-05-16,55.583641052246094,0.3784276381134986,0.5271859250962734,0.0943864312022923,5.0,0.2840412069112062,1.0
2018-05-17,56.42221832275391,0.3481291551142931,0.4867072481662035,0.1651636024937033,10.0,0.1829655526205897,-1.0
2018-05-18,55.985008239746094,0.3297958034090697,0.341114834882319,0.3290893932183583,6.0,0.0007064101907113,1.0
2018-05-21,56.55840301513672,0.5175236612558365,0.3273592051118612,0.1551171243190765,2.0,0.3624065369367599,-1.0
2018-05-22,55.80583190917969,0.0577125869070489,0.3443505683292945,0.5979368487993876,3.0,-0.5402242618923386,-1.0
2018-05-23,55.79866790771485,0.3634000780681769,0.3167593181133269,0.319840588606894,3.0,0.0435594894612829,-1.0
2018-05-24,54.8812370300293,0.0573016032576561,0.0279213320463895,0.9147770404815674,1.0,-0.8574754372239113,-1.0
