Date,Price,Return,Sign,avg_positive_XLK,avg_neutral_XLK,avg_negative_XLK,n_XLK,sent_index_XLK,is_trading_day
2018-03-20,63.31021881103516,,,0.2588432903091113,0.6836492667595545,0.057507415922979456,6.0,0.20133587438613185,1.0
2018-03-21,62.92961120605469,-0.0060117878618694,-1.0,0.07969397430618597,0.8912883798281351,0.029017627860108964,3.0,0.050676346446077006,1.0
2018-03-22,61.30509567260742,-0.0258148032748526,-1.0,0.348508702032268,0.22629762589931485,0.42519366890192034,5.0,-0.07668496686965232,1.0
2018-03-23,59.67128753662109,-0.0266504459060221,-1.0,0.24143942445516586,0.4821221485733986,0.27643843162804843,5.0,-0.03499900717288257,1.0
2018-03-26,61.93634414672852,0.0379589029098348,1.0,0.23463690280914304,0.6256008421381315,0.13976223875458035,6.0,0.09487466405456269,1.0
2018-03-27,59.94976043701172,-0.0320746039677535,-1.0,0.07507168834230725,0.5315885895064899,0.393339709511825,7.0,-0.31826802116951775,1.0
2018-03-28,59.55060195922852,-0.0066582163944188,-1.0,0.3107881686753697,0.47713174753718907,0.2120800941354698,9.0,0.09870807453989988,1.0
2018-03-29,60.72953414916992,0.0197971498381923,1.0,0.37014078348875046,0.61338542898496,0.016473710071295434,3.0,0.353667073417455,1.0
2018-04-02,59.28140258789063,-0.0238455898199753,-1.0,0.13471909184008832,0.35149625409394497,0.5137846590951085,10.0,-0.37906556725502016,1.0
2018-04-03,59.86621475219727,0.0098650190241298,1.0,0.1964406310063269,0.35361757771008545,0.4499417930427525,9.0,-0.2535011620364256,1.0
2018-04-04,60.70168685913086,0.0139556527900057,1.0,0.12501144424701724,0.3210514358555277,0.5539371282793581,6.0,-0.4289256840323409,1.0
2018-04-05,60.95234680175781,0.0041293735906986,1.0,0.1001649498939514,0.8866465091705322,0.0131885102018713,1.0,0.0869764396920801,1.0
2018-04-06,59.45777130126953,-0.0245203930432614,-1.0,0.578851580619812,0.0354473516345024,0.385701060295105,1.0,0.19315052032470703,1.0
2018-04-09,59.92191696166992,0.0078063077414824,1.0,0.13379318006336685,0.49244664758443835,0.37376019954681394,5.0,-0.2399670194834471,1.0
2018-04-10,61.39793014526367,0.0246322757754546,1.0,0.028401026812692434,0.2261090775330861,0.7454898357391357,3.0,-0.7170888089264433,1.0
2018-04-11,61.035892486572266,-0.0058965775855122,-1.0,,,,,,
2018-04-12,61.76925277709961,0.0120152300662872,1.0,0.42888028422991437,0.5539459226032099,0.017173796271284365,3.0,0.41170648795863,1.0
2018-04-13,61.56501770019531,-0.00330641974319,-1.0,0.0366798406466841,0.9048992097377777,0.058420964516699245,2.0,-0.021741123870015144,1.0
2018-04-16,62.038455963134766,0.0076900532254366,1.0,0.09597605541348452,0.5718657352030277,0.3321582248434424,5.0,-0.23618216942995784,1.0
2018-04-17,63.189552307128906,0.0185545614590756,1.0,0.1620664423331618,0.2175480334088206,0.6203855216503144,10.0,-0.45831907931715254,1.0
2018-04-18,63.02245330810547,-0.0026444086549507,-1.0,0.14105900311842556,0.33268007859587667,0.5262609254568815,5.0,-0.38520192233845596,1.0
2018-04-19,62.32622528076172,-0.0110473012521429,-1.0,0.3400107369137306,0.42292919661849737,0.23706003961463765,12.0,0.10295069729909298,1.0
2018-04-20,61.4629020690918,-0.0138516845482122,-1.0,0.16401818022131914,0.48536053150892255,0.3506212631240487,10.0,-0.18660308290272953,1.0
2018-04-23,61.24012756347656,-0.0036245360716096,-1.0,0.13680599909275765,0.606793088465929,0.2564008926041424,5.0,-0.11959489351138475,1.0
2018-04-24,60.17256546020508,-0.0174323951589574,-1.0,0.20712612465851832,0.5261238428453604,0.26675004460331464,9.0,-0.05962391994479632,1.0
2018-04-25,60.18185043334961,0.000154305755015,1.0,0.1899263938888907,0.6077823206782341,0.20229127630591387,10.0,-0.01236488241702316,1.0
2018-04-26,61.27724075317383,0.018201339971049,1.0,0.25407557629726146,0.4781264335933057,0.2677979942580515,11.0,-0.013722417960790045,1.0
2018-04-27,61.16584777832031,-0.0018178523295819,-1.0,0.14602560247294602,0.6098629683256149,0.24411145260091868,8.0,-0.09808585012797266,1.0
2018-04-30,60.76666641235352,-0.006526213245887,-1.0,0.21516513591632244,0.429888064507395,0.35494676837697625,8.0,-0.1397816324606538,1.0
2018-05-01,61.52788543701172,0.0125269176277118,1.0,0.3192189348240693,0.43395988705257577,0.246821134040753,6.0,0.07239780078331631,1.0
2018-05-02,61.4629020690918,-0.001056161242311,-1.0,0.22377039988835645,0.5749566902716955,0.2012728999058405,3.0,0.02249749998251596,1.0
2018-05-03,61.60215377807617,0.0022656220955501,1.0,0.409271284006536,0.4841527957469225,0.1065759444609284,4.0,0.3026953395456076,1.0
2018-05-04,62.77179336547852,0.0189869917798006,1.0,0.42641950910910964,0.30119874421507115,0.2723817438818514,6.0,0.15403776522725826,1.0
2018-05-07,63.20811462402344,0.0069509127452278,1.0,0.3187389300966805,0.5408353002911265,0.1404257581823251,11.0,0.17831317191435536,1.0
2018-05-08,63.34733963012695,0.0022026445011318,1.0,0.0224284213036298,0.9195247292518616,0.058046881109476,1.0,-0.0356184598058462,1.0
2018-05-09,64.12713623046875,0.0123098555502865,1.0,0.435337483882904,0.5521481037139893,0.0125144412741065,1.0,0.4228230426087975,1.0
2018-05-10,64.96260833740234,0.0130283707653957,1.0,0.23858072209571085,0.4397954121232033,0.32162390170352795,7.0,-0.0830431796078171,1.0
2018-05-11,64.86976623535156,-0.0014291621661584,-1.0,0.0715426402166485,0.43981096241623163,0.48864637315273285,2.0,-0.4171037329360844,1.0
