Date,Price,Return,Sign,avg_positive_XLY,avg_neutral_XLY,avg_negative_XLY,n_XLY,sent_index_XLY,is_trading_day
2018-03-20,97.19348907470705,,,0.17809293077637747,0.5971745724479357,0.22473248125364378,6.0,-0.04663955047726631,1.0
2018-03-21,97.11907958984376,-0.0007655809619725,-1.0,0.1685109867581299,0.36889693194202017,0.4625920689265643,7.0,-0.2940810821684344,1.0
2018-03-22,95.05410766601562,-0.0212622682643718,-1.0,0.29141896978641546,0.31722666913022596,0.3913543801754713,12.0,-0.09993541038905585,1.0
2018-03-23,93.18446350097656,-0.019669262180739,-1.0,0.46472269436344504,0.21788263134658334,0.31739470704148204,6.0,0.147327987321963,1.0
2018-03-26,95.9377670288086,0.0295468088175789,1.0,0.1565809732613464,0.4492082207774122,0.3942108174475531,12.0,-0.2376298441862067,1.0
2018-03-27,94.05880737304688,-0.0195851927134962,-1.0,0.1459307721457802,0.5664143464886225,0.28765486975988513,13.0,-0.14172409761410493,1.0
2018-03-28,92.91468811035156,-0.0121638716740009,-1.0,0.11049940849009611,0.2885229223622725,0.6009776542822902,13.0,-0.4904782457921941,1.0
2018-03-29,94.21694946289062,0.0140156672644955,1.0,0.19272402179194612,0.5367933621164411,0.27048260602168733,16.0,-0.07775858422974122,1.0
2018-04-02,91.55664825439452,-0.0282359089703273,-1.0,0.07170680362138554,0.3810093645853075,0.5472838412123647,22.0,-0.4755770375909792,1.0
2018-04-03,92.71934509277344,0.0126992071088962,1.0,0.23580473614856598,0.3380926105060747,0.42610267230442594,14.0,-0.19029793615585996,1.0
2018-04-04,94.42157745361328,0.018358977397183,1.0,0.0443732719868421,0.33924756695826846,0.6163791466193894,6.0,-0.5720058746325474,1.0
2018-04-05,95.68659210205078,0.0133975165693347,1.0,0.06297924034297463,0.4301780067384243,0.5068427519872785,10.0,-0.4438635116443038,1.0
2018-04-06,93.64955139160156,-0.0212886744704701,-1.0,0.5686665568500757,0.22437054058536887,0.2069628909230232,4.0,0.3617036659270525,1.0
2018-04-09,93.42630767822266,-0.0023838204247813,-1.0,0.3943464954694112,0.43451154138892883,0.17114197633539632,6.0,0.22320451913401487,1.0
2018-04-10,94.56111907958984,0.0121465937118663,1.0,0.1853069924852914,0.38864397009213764,0.42604901848567855,9.0,-0.24074202600038716,1.0
2018-04-11,94.27273559570312,-0.003049704642814,-1.0,0.19806643269423924,0.6531122236379555,0.1488213504531553,7.0,0.049245082241083926,1.0
2018-04-12,94.68202209472656,0.0043415150354679,1.0,0.2766573324333876,0.4387000394053757,0.28464262629859144,8.0,-0.007985293865203857,1.0
2018-04-13,94.15186309814452,-0.0055993628447398,-1.0,0.03180464776232837,0.5894326940178871,0.3787626661360264,4.0,-0.346958018373698,1.0
2018-04-16,94.85875701904295,0.0075080184038585,1.0,0.28713227976113553,0.3482025399804115,0.36466515427455304,10.0,-0.0775328745134175,1.0
2018-04-17,96.6260757446289,0.0186310550667574,1.0,0.19449199587953359,0.2958302724767815,0.5096777354959737,11.0,-0.31518573961644014,1.0
2018-04-18,97.08187103271484,0.0047171044107239,1.0,0.11912937097561854,0.4173952719817559,0.4634753568097949,6.0,-0.34434598583417636,1.0
2018-04-19,96.77490997314452,-0.0031618782817534,-1.0,0.1913013969632712,0.479216192425652,0.3294823926619508,11.0,-0.1381809956986796,1.0
2018-04-20,95.78893280029295,-0.0101883553611692,-1.0,0.24658492965889822,0.3482261611414807,0.40518893101917847,7.0,-0.15860400136028024,1.0
2018-04-23,95.99356079101562,0.0021362383392378,1.0,0.35290671202043694,0.4144745624313752,0.23261870878438154,6.0,0.1202880032360554,1.0
2018-04-24,94.47737884521484,-0.0157946213611307,-1.0,0.09624599944800134,0.34877914702519774,0.5549748688936234,8.0,-0.458728869445622,1.0
2018-04-25,94.86805725097656,0.0041351528856634,1.0,0.1669923433413108,0.5314177975058556,0.30158984983960785,15.0,-0.13459750649829705,1.0
2018-04-26,96.40284729003906,0.0161781539913077,1.0,0.16211811741814014,0.33498363289982075,0.5028982780873775,10.0,-0.3407801606692374,1.0
2018-04-27,96.84001159667967,0.0045347655067216,1.0,0.5189969088468287,0.1738142974467741,0.307188782427046,9.0,0.2118081264197827,1.0
2018-04-30,96.45864868164062,-0.003938071761364,-1.0,0.3330752170748181,0.31736530653304523,0.34955947245988583,9.0,-0.01648425538506776,1.0
2018-05-01,96.58887481689452,0.0013500721504371,1.0,0.0245719458907842,0.48664320539683104,0.48878489620983595,2.0,-0.46421295031905174,1.0
2018-05-02,95.9284439086914,-0.0068375463473935,-1.0,0.07176202939202382,0.44249704231818515,0.48574088513851166,3.0,-0.41397885574648785,1.0
2018-05-03,95.50056457519533,-0.0044604010662713,-1.0,0.05787437895519861,0.4832860053413444,0.4588396151860555,9.0,-0.4009652362308569,1.0
2018-05-04,96.75629425048828,0.0131489241019535,1.0,0.2363895948510617,0.28398115374147886,0.47962926188483834,4.0,-0.24323966703377664,1.0
2018-05-07,97.08187103271484,0.0033649157891857,1.0,0.23801477797902543,0.5345867710331311,0.2273984521340865,13.0,0.010616325844938934,1.0
2018-05-08,96.67257690429688,-0.0042159686877073,-1.0,0.08669946063309902,0.6511612832546234,0.2621392358560115,4.0,-0.1754397752229125,1.0
2018-05-09,97.0074691772461,0.003464191021625,1.0,0.4582979072417532,0.4913761557212898,0.050325915217399556,7.0,0.40797199202435364,1.0
2018-05-10,97.36089324951172,0.0036432665985737,1.0,0.32399146507183707,0.36556120216846466,0.31044740291933215,3.0,0.013544062152504921,1.0
